x1,x2,x3,y
1.00E+00,1.86E+03,1.18E+02,1.18E+02
1.00E+00,1.86E+03,1.51E+02,1.51E+02
1.00E+00,1.86E+03,1.19E+02,1.21E+02
1.00E+00,1.86E+03,9.40E+01,9.60E+01
1.00E+00,1.86E+03,1.11E+02,1.10E+02
1.00E+00,1.86E+03,1.29E+02,1.17E+02
1.00E+00,1.86E+03,1.33E+02,1.32E+02
1.00E+00,1.86E+03,1.19E+02,1.04E+02
1.00E+00,1.86E+03,1.31E+02,1.25E+02
1.00E+00,1.86E+03,1.17E+02,1.18E+02
1.00E+00,1.87E+03,1.25E+02,1.25E+02
1.00E+00,1.87E+03,1.28E+02,1.23E+02
1.00E+00,1.87E+03,1.08E+02,1.10E+02
1.00E+00,1.87E+03,1.26E+02,1.27E+02
1.00E+00,1.87E+03,1.38E+02,1.31E+02
1.00E+00,1.87E+03,1.00E+02,9.90E+01
1.00E+00,1.87E+03,1.42E+02,1.26E+02
1.00E+00,1.87E+03,1.41E+02,1.44E+02
1.00E+00,1.87E+03,1.36E+02,1.36E+02
1.00E+00,1.87E+03,1.23E+02,1.26E+02
1.00E+00,1.88E+03,9.10E+01,9.10E+01
1.00E+00,1.88E+03,1.32E+02,1.30E+02
1.00E+00,1.88E+03,6.20E+01,6.20E+01
1.00E+00,1.88E+03,1.15E+02,1.12E+02
1.00E+00,1.88E+03,9.30E+01,9.90E+01
1.00E+00,1.88E+03,1.60E+02,1.61E+02
1.00E+00,1.88E+03,7.70E+01,7.80E+01
1.00E+00,1.88E+03,1.27E+02,1.24E+02
1.00E+00,1.88E+03,1.20E+02,1.19E+02
1.00E+00,1.88E+03,1.21E+02,1.24E+02
1.00E+00,1.89E+03,1.31E+02,1.28E+02
1.00E+00,1.89E+03,1.31E+02,1.31E+02
1.00E+00,1.89E+03,1.37E+02,1.13E+02
1.00E+00,1.89E+03,8.70E+01,8.80E+01
1.00E+00,1.89E+03,7.40E+01,7.50E+01
1.00E+00,1.89E+03,1.13E+02,1.11E+02
1.00E+00,1.89E+03,9.60E+01,9.70E+01
1.00E+00,1.89E+03,1.17E+02,1.12E+02
1.00E+00,1.89E+03,9.90E+01,1.01E+02
1.00E+00,1.89E+03,1.04E+02,1.01E+02
1.00E+00,1.90E+03,1.19E+02,9.10E+01
1.00E+00,1.90E+03,1.23E+02,1.10E+02
1.00E+00,1.90E+03,1.01E+02,1.00E+02
1.00E+00,1.90E+03,1.29E+02,1.30E+02
1.00E+00,1.90E+03,1.12E+02,1.11E+02
1.00E+00,1.90E+03,1.18E+02,1.07E+02
1.00E+00,1.90E+03,1.03E+02,1.05E+02
1.00E+00,1.90E+03,8.50E+01,8.90E+01
1.00E+00,1.90E+03,1.40E+02,1.26E+02
1.00E+00,1.90E+03,1.11E+02,1.08E+02
1.00E+00,1.91E+03,1.15E+02,9.70E+01
1.00E+00,1.91E+03,1.06E+02,9.40E+01
1.00E+00,1.91E+03,1.06E+02,8.30E+01
1.00E+00,1.91E+03,1.18E+02,1.06E+02
1.00E+00,1.91E+03,9.60E+01,9.80E+01
1.00E+00,1.91E+03,1.03E+02,1.01E+02
1.00E+00,1.91E+03,1.13E+02,1.08E+02
1.00E+00,1.91E+03,1.04E+02,9.90E+01
1.00E+00,1.91E+03,8.30E+01,8.80E+01
1.00E+00,1.91E+03,1.15E+02,1.15E+02
1.00E+00,1.92E+03,1.11E+02,1.02E+02
1.00E+00,1.92E+03,1.16E+02,1.16E+02
1.00E+00,1.92E+03,1.16E+02,1.15E+02
1.00E+00,1.92E+03,8.30E+01,8.20E+01
1.00E+00,1.92E+03,1.16E+02,1.10E+02
1.00E+00,1.92E+03,8.50E+01,8.10E+01
1.00E+00,1.92E+03,9.60E+01,9.60E+01
1.00E+00,1.92E+03,1.27E+02,1.25E+02
1.00E+00,1.92E+03,1.03E+02,1.04E+02
1.00E+00,1.92E+03,1.03E+02,1.05E+02
1.00E+00,1.93E+03,1.26E+02,1.24E+02
1.00E+00,1.93E+03,1.02E+02,1.03E+02
1.00E+00,1.93E+03,1.08E+02,1.06E+02
1.00E+00,1.93E+03,9.60E+01,9.60E+01
1.00E+00,1.93E+03,1.04E+02,1.07E+02
1.00E+00,1.93E+03,9.80E+01,9.80E+01
1.00E+00,1.93E+03,6.00E+01,6.50E+01
1.00E+00,1.93E+03,1.07E+02,1.15E+02
1.00E+00,1.93E+03,1.03E+02,9.10E+01
1.00E+00,1.93E+03,9.80E+01,9.40E+01
1.00E+00,1.94E+03,1.07E+02,1.01E+02
1.00E+00,1.94E+03,1.23E+02,1.21E+02
1.00E+00,1.94E+03,1.11E+02,1.05E+02
1.00E+00,1.94E+03,1.02E+02,9.70E+01
1.00E+00,1.94E+03,1.02E+02,1.05E+02
1.00E+00,1.94E+03,1.27E+02,9.60E+01
1.00E+00,1.94E+03,8.50E+01,8.20E+01
1.00E+00,1.94E+03,1.14E+02,1.16E+02
1.00E+00,1.94E+03,1.01E+02,1.14E+02
1.00E+00,1.94E+03,8.90E+01,9.20E+01
1.00E+00,1.95E+03,9.90E+01,9.80E+01
1.00E+00,1.95E+03,1.08E+02,1.01E+02
1.00E+00,1.95E+03,1.08E+02,1.04E+02
1.00E+00,1.95E+03,9.20E+01,9.60E+01
1.00E+00,1.95E+03,1.13E+02,1.09E+02
1.00E+00,1.95E+03,1.18E+02,1.22E+02
1.00E+00,1.95E+03,1.12E+02,1.14E+02
1.00E+00,1.95E+03,9.30E+01,8.10E+01
1.00E+00,1.95E+03,7.20E+01,8.50E+01
1.00E+00,1.95E+03,8.30E+01,9.20E+01
1.00E+00,1.96E+03,1.09E+02,1.14E+02
1.00E+00,1.96E+03,9.20E+01,1.11E+02
1.00E+00,1.96E+03,1.09E+02,9.50E+01
1.00E+00,1.96E+03,1.25E+02,1.26E+02
1.00E+00,1.96E+03,1.01E+02,1.05E+02
1.00E+00,1.96E+03,9.80E+01,1.08E+02
1.00E+00,1.96E+03,1.13E+02,1.17E+02
1.00E+00,1.96E+03,1.12E+02,1.12E+02
1.00E+00,1.96E+03,9.20E+01,1.13E+02
1.00E+00,1.96E+03,1.14E+02,1.20E+02
1.00E+00,1.97E+03,6.50E+01,6.50E+01
1.00E+00,1.97E+03,8.80E+01,9.80E+01
1.00E+00,1.97E+03,8.70E+01,9.10E+01
1.00E+00,1.97E+03,1.01E+02,1.08E+02
1.00E+00,1.97E+03,9.20E+01,1.13E+02
1.00E+00,1.97E+03,9.30E+01,1.10E+02
